Transaction_ID,Date,Day_Name,Brand,Units_Sold,Price_Per_Unit,Custome_ Name,Customer_Age,City,Payment_Method,Customer_Ratings,Mobile_Model,Total_sales
1,2021-10-09,Saturday,Xiaomi,6,10174.7,Lalita Ahuja,38,Ludhiana,UPI,5,Redmi Note 10,61048.2
2,2021-10-09,Saturday,Vivo,6,10565.19,Sneha Sharma,37,Delhi,Credit Card,3,Vivo Y51,63391.14
3,2021-10-09,Saturday,Vivo,8,58527.58,Radha Srivastava,40,Mumbai,UPI,5,Vivo S1,468220.64
4,2021-10-10,Sunday,Xiaomi,5,25563.98,Bhavana Arora,21,Mumbai,Credit Card,4,Mi 11,127819.9
5,2021-10-10,Sunday,OnePlus,3,48168.02,Sneha Mehta,38,Gorakhpur,Cash,5,OnePlus 9,144504.06
6,2021-10-10,Sunday,Samsung,3,37252.87,Reena Mehta,38,Jodhpur,UPI,3,Galaxy Note 20,111758.61
7,2021-10-10,Sunday,OnePlus,6,61805.8,Pankaj Alva,18,Delhi,Cash,4,OnePlus Nord,370834.8
8,2021-10-11,Monday,Apple,2,65017.67,Mala Rawat,32,Vadodara,Cash,3,iPhone 12,130035.34
9,2021-10-11,Monday,Vivo,6,69808.46,Pankaj Varma,34,Delhi,UPI,5,Vivo Y51,418850.76
10,2021-10-11,Monday,Samsung,6,19221.05,Yogesh Sharma,31,Mumbai,Debit Card,2,Galaxy A51,115326.3
11,2021-10-12,Tuesday,Samsung,8,61777.84,Radha Sharma,36,Madurai,Credit Card,5,Galaxy A51,494222.72
12,2021-10-12,Tuesday,Apple,7,25961.28,Namita Roy,51,Delhi,UPI,4,iPhone 12,181728.96
13,2021-10-12,Tuesday,Apple,8,45448.95,Ramesh Joshi,23,Mumbai,Cash,5,iPhone 12,363591.6
14,2021-10-13,Wednesday,Xiaomi,9,40346.37,Arun Iyer,23,Hyderabad,Credit Card,2,Redmi Note 10,363117.33
15,2021-10-13,Wednesday,Vivo,6,11079.29,Manoj Siddiqui,22,Chennai,Cash,5,Vivo V20,66475.74
16,2021-10-13,Wednesday,Vivo,3,65966.28,Anjali Gupta,24,Mumbai,Credit Card,2,Vivo Y51,197898.84
